time_s,car,x,y,area
26.485,cyan,225,320,928.0
26.594,orange,800,200,1329.5
26.594,cyan,226,320,905.0
26.688,orange,872,197,1336.0
26.688,cyan,226,323,868.5
26.781,orange,944,184,1330.5
26.781,cyan,226,320,842.5
26.891,orange,1015,170,1353.5
26.891,cyan,226,320,919.0
26.985,orange,1090,161,1373.0
26.985,cyan,226,320,910.0
27.063,orange,1162,176,1509.0
27.063,cyan,226,320,921.0
27.172,orange,1217,218,1930.0
27.172,cyan,225,319,933.5
27.281,orange,1245,276,2230.5
27.281,cyan,226,319,939.0
27.375,orange,1247,346,2319.5
27.375,cyan,226,320,913.0
27.469,orange,1215,410,1746.0
27.469,cyan,225,319,895.5
27.578,orange,1167,448,1212.5
27.578,cyan,225,319,899.5
27.688,orange,1107,469,1224.0
27.688,cyan,225,318,925.0
27.781,orange,1043,472,1293.5
27.781,cyan,225,319,966.0
27.875,orange,970,474,840.0
27.875,cyan,224,317,907.5
28.0,orange,899,469,1313.0
28.0,cyan,225,318,926.5
28.078,orange,819,468,1248.0
28.078,cyan,225,318,864.5
28.188,orange,734,468,1237.0
28.188,cyan,225,318,951.5
28.281,orange,644,468,1241.5
28.281,cyan,222,311,742.0
28.391,orange,554,466,1201.0
28.391,cyan,225,319,906.5
28.485,orange,461,464,1263.0
28.485,cyan,225,319,933.0
28.578,orange,369,461,1270.5
28.578,cyan,225,318,902.5
28.672,orange,278,458,1306.0
28.672,cyan,221,308,608.5
28.781,orange,186,456,1323.5
28.781,cyan,226,320,903.0
28.891,orange,104,436,1349.5
28.891,cyan,225,318,851.5
28.985,orange,48,388,1597.0
28.985,cyan,226,319,861.0
29.078,orange,22,323,1777.5
29.078,cyan,225,318,924.5
29.188,orange,23,261,1985.5
29.188,cyan,226,319,923.5
29.297,orange,55,202,1432.5
29.297,cyan,225,318,895.0
29.375,orange,101,162,1659.0
29.375,cyan,225,318,925.0
29.469,orange,162,148,1308.0
29.469,cyan,225,319,912.5
29.625,orange,223,158,1372.5
29.625,cyan,225,319,916.5
29.688,orange,277,195,1566.0
29.688,cyan,225,319,896.5
29.797,orange,318,245,1463.5
29.797,cyan,226,319,916.0
29.906,orange,374,279,1359.5
29.906,cyan,225,319,865.0
29.985,orange,432,277,1234.5
29.985,cyan,226,320,910.0
30.078,orange,479,248,1236.0
30.078,cyan,226,319,882.0
